,Chromatic Orb,Orb of Alteration,Jeweller's Orb,Orb of Chance,Cartographer's Chisel,Orb of Fusing,Orb of Alchemy,Orb of Scouring,Blessed Orb,Chaos Orb,Orb of Regret,Regal Orb,Gemcutter's Prism,Divine Orb,Exalted Orb,Eternal Orb,Vaal Orb
Chromatic Orb,1:1,"1:1,1","2,1:1","1,9:1","3,3:1","7,5:1",5:1,10:1,19:1,15:1,15:1,19:1,30:1,441:1,750:1,1500:1,19:1
Orb of Alteration,"1,1:1",1:1,"2,3:1",2:1,"3,6:1",8:1,"5,3:1",11:1,20:1,16:1,16:1,20:1,32:1,471:1,800:1,1600:1,20:1
Jeweller's Orb,"1:2,1","1:2,3",1:1,"1:1,1","1,6:1","3,5:1","2,3:1","4,7:1","8,8:1",7:1,7:1,"8,8:1",14:1,206:1,350:1,700:1,"8,8:1"
Orb of Chance,"1:1,9",1:2,"1,1:1",1:1,"1,8:1",4:1,"2,7:1","5,3:1",10:1,8:1,8:1,10:1,16:1,235:1,400:1,800:1,10:1
Cartographer's Chisel,"1:3,3","1:3,6","1:1,6","1:1,8",1:1,"2,3:1","1,5:1",3:1,"5,6:1","4,5:1","4,5:1","5,6:1",9:1,132:1,225:1,450:1,"5,6:1"
Orb of Fusing,"1:7,5",1:8,"1:3,5",1:4,"1:2,3",1:1,"1:1,5","1,3:1","2,5:1",2:1,2:1,"2,5:1",4:1,59:1,100:1,200:1,"2,5:1"
Orb of Alchemy,1:5,"1:5,3","1:2,3","1:2,7","1:1,5","1,5:1",1:1,2:1,"3,8:1",3:1,3:1,"3,8:1",6:1,88:1,150:1,300:1,"3,8:1"
Orb of Scouring,1:10,1:11,"1:4,7","1:5,3",1:3,"1:1,3",1:2,1:1,"1,9:1","1,5:1","1,5:1","1,9:1",3:1,44:1,75:1,150:1,"1,9:1"
Blessed Orb,1:19,1:20,"1:8,8",1:10,"1:5,6","1:2,5","1:3,8","1:1,9",1:1,"1:1,3","1:1,3",1:1,"1,6:1",24:1,40:1,80:1,1:1
Chaos Orb,1:15,1:16,1:7,1:8,"1:4,5",1:2,1:3,"1:1,5","1,3:1",1:1,1:1,"1,3:1",2:1,29:1,50:1,100:1,"1,3:1"
Orb of Regret,1:15,1:16,1:7,1:8,"1:4,5",1:2,1:3,"1:1,5","1,3:1",1:1,1:1,"1,3:1",2:1,29:1,50:1,100:1,"1,3:1"
Regal Orb,1:19,1:20,"1:8,8",1:10,"1:5,6","1:2,5","1:3,8","1:1,9",1:1,"1:1,3","1:1,3",1:1,"1,6:1",24:1,40:1,80:1,1:1
Gemcutter's Prism,1:30,1:32,1:14,1:16,1:9,1:4,1:6,1:3,"1:1,6",1:2,1:2,"1:1,6",1:1,15:1,25:1,50:1,"1:1,6"
Divine Orb,1:441,1:471,1:206,1:235,1:132,1:59,1:88,1:44,1:24,1:29,1:29,1:24,1:15,1:1,"1,7:1","3,4:1",1:24
Exalted Orb,1:750,1:800,1:350,1:400,1:225,1:100,1:150,1:75,1:40,1:50,1:50,1:40,1:25,"1:1,7",1:1,2:1,1:40
Eternal Orb,1:1500,1:1600,1:700,1:800,1:450,1:200,1:300,1:150,1:80,1:100,1:100,1:80,1:50,"1:3,4",1:2,1:1,1:80
Vaal Orb,1:19,1:20,"1:8,8",1:10,"1:5,6","1:2,5","1:3,8","1:1,9",1:1,"1:1,3","1:1,3",1:1,"1,6:1",24:1,40:1,80:1,1:1
20151029
